target,predictor,lag,p_value
UNRATE,PCE,1,1.872424843796815e-27
UNRATE,PCE,2,2.051058501343802e-27
UNRATE,PCE,3,6.906998522074933e-29
UNRATE,PCE,4,3.472385637899559e-27
UNRATE,PCE,5,4.142621176114993e-27
UNRATE,PCE,6,2.235755649140164e-26
UNRATE,CPI,1,0.019873916085076795
UNRATE,CPI,2,0.029606507467893135
UNRATE,FEDFUNDS,1,1.3932366435789e-07
UNRATE,FEDFUNDS,2,2.11058380744076e-14
UNRATE,FEDFUNDS,3,1.9324256077306638e-13
UNRATE,FEDFUNDS,4,5.754712493084071e-13
UNRATE,FEDFUNDS,5,2.923784058340859e-15
UNRATE,FEDFUNDS,6,1.0428856293188291e-15
UNRATE,M2,2,3.843312052581314e-10
UNRATE,M2,3,4.182014514092332e-11
UNRATE,M2,4,3.071439681986476e-10
UNRATE,M2,5,5.854828647197601e-10
UNRATE,M2,6,1.7976003201068085e-09
UNRATE,INDPRO,1,1.2346313292910247e-05
UNRATE,INDPRO,2,1.1973307112545822e-05
UNRATE,INDPRO,3,8.67703469248527e-06
UNRATE,INDPRO,4,5.493204122247912e-05
UNRATE,INDPRO,5,0.0001517197752367812
UNRATE,INDPRO,6,0.0003372666663985216
UNRATE,CSENT,1,0.049400442702233885
UNRATE,CRUDE,2,2.032766874683383e-08
UNRATE,CRUDE,3,1.122183555381953e-07
UNRATE,CRUDE,4,6.708795398271184e-07
UNRATE,CRUDE,5,2.2128099298806124e-06
UNRATE,CRUDE,6,3.3888533126507927e-06
UNRATE,COMPI,1,0.0345085453529971
UNRATE,LABOR,1,0.004356665699582966
UNRATE,LABOR,2,0.035619484413672686
PCE,UNRATE,1,4.392025715069681e-23
PCE,UNRATE,2,9.887032630567869e-18
PCE,UNRATE,3,3.240669463927035e-17
PCE,UNRATE,4,1.9495081490335337e-16
PCE,UNRATE,5,2.723123084399649e-16
PCE,UNRATE,6,1.1828375564139395e-15
PCE,FEDFUNDS,1,0.03690708143455201
PCE,FEDFUNDS,2,1.2950367201455594e-07
PCE,FEDFUNDS,3,3.8329419947508423e-07
PCE,FEDFUNDS,4,1.1734142349769886e-06
PCE,FEDFUNDS,5,5.641825418706492e-09
PCE,FEDFUNDS,6,1.554732507278628e-09
PCE,M2,1,0.0001133958859561711
PCE,M2,2,0.0005267420961421436
PCE,M2,3,0.0005690286568109207
PCE,M2,4,0.003368671155973558
PCE,M2,5,0.007898619028389836
PCE,M2,6,0.01373564766924642
PCE,WAGE_AVG,1,2.719219006000296e-16
PCE,WAGE_AVG,2,7.94689223241929e-14
PCE,WAGE_AVG,3,3.298964346509118e-14
PCE,WAGE_AVG,4,1.2194038119788031e-15
PCE,WAGE_AVG,5,4.054913668823836e-15
PCE,WAGE_AVG,6,1.380302448631669e-14
PCE,INDPRO,1,7.377643149785914e-10
PCE,INDPRO,2,1.961934780126472e-05
PCE,INDPRO,3,4.8962584830391054e-05
PCE,INDPRO,4,8.378411129255023e-06
PCE,INDPRO,5,1.4069058910194726e-05
PCE,INDPRO,6,2.7056054864922636e-05
PCE,CRUDE,2,0.0002266077285225646
PCE,CRUDE,3,0.0007902901229375455
PCE,CRUDE,4,0.0025186792919990185
PCE,CRUDE,5,0.007432501742073317
PCE,CRUDE,6,0.012566244709520669
PCE,COMPI,2,0.020673930345257614
PCE,COMPI,3,0.023489806043134182
PCE,COMPI,4,0.029391789539062813
PCE,COMPI,5,0.04672361569732742
PCE,LABOR,1,2.1501997275681615e-05
PCE,LABOR,2,0.0004710825820965888
PCE,LABOR,3,0.00078062000879307
PCE,LABOR,4,0.002260863040364207
PCE,LABOR,5,0.004252654439683401
PCE,LABOR,6,0.0012095954803073969
CPI,PCE,1,0.03424939699898938
CPI,FEDFUNDS,2,0.007289124410710766
CPI,FEDFUNDS,3,0.010510029468788385
CPI,FEDFUNDS,4,0.009636330938036172
CPI,FEDFUNDS,5,0.000508516712500068
CPI,FEDFUNDS,6,0.0003117725552177958
CPI,M2,3,0.04332632959090988
CPI,WAGE_AVG,2,0.020914841697879966
CPI,WAGE_AVG,3,0.04991113265667687
CPI,WAGE_AVG,5,0.037264216292960346
CPI,GDPDEF,2,0.04675605934625049
CPI,GDPDEF,3,0.03413514108993795
CPI,GDPDEF,4,0.027335450297934712
CPI,GDPDEF,5,0.014726669939928128
CPI,GDPDEF,6,0.02995388010614479
CPI,CSENT,3,0.0160751907593276
CPI,CSENT,4,0.02282252526612071
CPI,CSENT,5,0.04954228790833445
CPI,CRUDE,2,0.0033455383039443505
CPI,CRUDE,3,0.0016058967085553748
CPI,CRUDE,4,0.001518163730507189
CPI,CRUDE,5,0.0007709072297819089
CPI,CRUDE,6,0.0012201459839502416
CPI,COMPI,1,0.0054439694928487365
CPI,COMPI,2,0.0381315784100566
CPI,COMPI,3,0.00835965107054128
CPI,COMPI,4,0.008310309483819323
CPI,COMPI,5,0.017537960823782933
CPI,COMPI,6,0.0050489575856597834
FEDFUNDS,UNRATE,1,0.004985282808727069
FEDFUNDS,UNRATE,2,0.009985507769256968
FEDFUNDS,CPI,3,0.04752888139032296
FEDFUNDS,CPI,4,0.025714347516169973
FEDFUNDS,WAGE_AVG,1,0.00027499876469692393
FEDFUNDS,WAGE_AVG,2,0.000869973172767259
FEDFUNDS,WAGE_AVG,3,0.017701756144150423
FEDFUNDS,WAGE_AVG,4,0.026975503369260842
FEDFUNDS,COMPI,3,0.0022959138763482103
FEDFUNDS,COMPI,4,0.007154364663222142
FEDFUNDS,COMPI,5,0.04104126735754533
FEDFUNDS,LABOR,1,0.002252826716181844
FEDFUNDS,LABOR,2,0.003199441683249393
FEDFUNDS,LABOR,3,0.019169113257813925
FEDFUNDS,LABOR,4,0.025639598183676532
FEDFUNDS,LABOR,5,0.019947041671310305
FEDFUNDS,LABOR,6,0.020634015216910495
M2,UNRATE,1,0.03832374901518879
M2,UNRATE,2,0.005821715799191394
M2,UNRATE,3,0.011050805912127114
M2,UNRATE,4,0.006274420123912859
M2,UNRATE,5,0.03263270086796829
M2,UNRATE,6,0.010107121115729967
M2,PCE,1,7.898705569869889e-10
M2,PCE,2,2.2398880093639336e-08
M2,PCE,3,1.1752957259658644e-08
M2,PCE,4,6.802888110180725e-11
M2,PCE,5,1.5231743452847423e-09
M2,PCE,6,1.3708272136619926e-09
M2,CPI,1,0.004487410252394612
M2,CPI,2,0.02389776968509493
M2,CPI,3,0.006205221901843911
M2,CPI,4,0.014093532185247108
M2,CPI,5,0.03713659587511755
M2,FEDFUNDS,1,3.371133838000074e-07
M2,FEDFUNDS,2,1.1669518223065443e-06
M2,FEDFUNDS,3,3.7944806905997534e-07
M2,FEDFUNDS,4,2.747080298650275e-07
M2,FEDFUNDS,5,3.0338618103915773e-07
M2,FEDFUNDS,6,8.90313252799711e-07
M2,WAGE_AVG,1,0.0018631443115828868
M2,WAGE_AVG,2,0.000984616123850303
M2,WAGE_AVG,3,0.004098456554114323
M2,WAGE_AVG,4,0.0004297455530501655
M2,WAGE_AVG,5,0.003367475491444595
M2,WAGE_AVG,6,0.0011503649966831812
M2,INDPRO,1,0.0008545317055275935
M2,INDPRO,2,0.0008567243426856428
M2,INDPRO,3,0.0015908270144209431
M2,INDPRO,4,7.974856658187188e-05
M2,INDPRO,5,0.0006260582345809971
M2,INDPRO,6,0.0008386200094332049
M2,CRUDE,2,8.103945661190663e-06
M2,CRUDE,3,9.507550633006151e-06
M2,CRUDE,4,2.119922610280894e-05
M2,CRUDE,5,6.785804020369917e-06
M2,CRUDE,6,2.4786562605046066e-05
M2,COMPI,1,0.03502808733614199
M2,COMPI,3,0.014567339501884005
M2,COMPI,4,0.033921500978826014
M2,LABOR,1,0.010604074581736955
WAGE_AVG,UNRATE,1,0.040010815282128874
WAGE_AVG,UNRATE,2,0.0002784683358862305
WAGE_AVG,UNRATE,3,0.0001591682026313048
WAGE_AVG,UNRATE,4,0.00016801617636822243
WAGE_AVG,UNRATE,5,9.256174162318387e-05
WAGE_AVG,UNRATE,6,0.00013257528371812905
WAGE_AVG,PCE,1,3.068403472255462e-12
WAGE_AVG,PCE,2,7.190575709349415e-17
WAGE_AVG,PCE,3,3.6152899360783414e-20
WAGE_AVG,PCE,4,4.180909777195586e-23
WAGE_AVG,PCE,5,2.6935694870773964e-23
WAGE_AVG,PCE,6,7.644104428424778e-24
WAGE_AVG,CPI,2,0.016543655730990172
WAGE_AVG,CPI,3,0.016601313689473183
WAGE_AVG,CPI,4,0.009510151849771283
WAGE_AVG,CPI,5,0.007610951067423322
